"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
2023,"AR","Arkansas","Drew","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence",29.9,"","",26.6,33.3,"16,945","13,230",5043,"HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-91.7196579038053 33.5894113647675)"
2023,"AR","Arkansas","Fulton","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence",10.6,"","",9.2,11.9,"12,421","9,795",5049,"HLTHOUT","CASTHMA","CrdPrv","Current Asthma","POINT (-91.817888079321 36.3816206347765)"
2023,"AR","Arkansas","Howard","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence",31.2,"","",27.7,34.8,"12,533","9,311",5061,"HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-93.9938053308515 34.0889044688856)"
2023,"AR","Arkansas","Miller","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence",4.7,"","",4.2,5.3,"42,415","32,396",5091,"HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-93.8924281761086 33.3123156126392)"
2023,"AR","Arkansas","Ouachita","BRFSS","Disability","Any disability among adults","%","Crude prevalence",42.8,"","",37.9,47.8,"21,793","16,948",5103,"DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-92.882040791321 33.593253927504)"
2023,"AR","Arkansas","Pulaski","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence",3.9,"","",3.4,4.3,"400,009","307,397",5119,"HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-92.3119548341849 34.7700394452014)"
2023,"AR","Arkansas","Van Buren","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence",5.4,"","",4.7,6.2,"16,142","13,054",5141,"HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-92.5158922653774 35.5806118772188)"
2023,"CA","California","Marin","BRFSS","Disability","Any disability among adults","%","Crude prevalence",27.5,"","",23.2,32,"254,407","206,190",6041,"DISABLT","DISABILITY","CrdPrv","Any Disability","POINT (-122.72355494043 38.0735138436081)"
2023,"CO","Colorado","Dolores","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence",30.2,"","",26.7,33.9,"2,513","2,096",8033,"HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-108.517382189661 37.7520546286538)"
2023,"CO","Colorado","Lake","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence",10.2,"","",9,11.6,"7,365","5,869",8065,"HLTHOUT","CASTHMA","CrdPrv","Current Asthma","POINT (-106.344971513974 39.2024367117474)"
2023,"CO","Colorado","Phillips","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence",29.6,"","",26.2,33.2,"4,476","3,359",8095,"HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-102.357399923211 40.5940489294247)"
2023,"CO","Colorado","Routt","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence",24.7,"","",21.5,28.3,"25,064","20,739",8107,"HLTHOUT","ARTHRITIS","CrdPrv","Arthritis","POINT (-106.991358943749 40.4849640267694)"
2023,"CO","Colorado","Yuma","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",28.4,"","",21.5,36.2,"9,862","7,075",8125,"HLTHOUT","OBESITY","CrdPrv","Obesity","POINT (-102.424564854412 40.0028209513012)"
2023,"FL","Florida","Brevard","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence",13.1,"","",11.3,15.2,"643,979","528,274",12009,"HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-80.7322290402972 28.2934562139849)"
2023,"FL","Florida","Citrus","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence",15.8,"","",13.4,18.1,"166,696","142,235",12017,"HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-82.4772202477587 28.8485262076997)"
2023,"FL","Florida","Flagler","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence",18.3,"","",15.8,21.1,"131,439","110,520",12035,"HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-81.3134845980192 29.4615154544014)"
2023,"FL","Florida","Highlands","BRFSS","Health Outcomes","Arthritis among adults","%","Age-adjusted prevalence",25.1,"","",22.3,28,"107,614","89,745",12055,"HLTHOUT","ARTHRITIS","AgeAdjPrv","Arthritis","POINT (-81.3412000386981 27.3435764189607)"
2023,"FL","Florida","Martin","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence",2.7,"","",2.4,3.1,"163,315","137,320",12085,"HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-80.4312703143614 27.0775829017837)"
2023,"FL","Florida","Seminole","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence",16.4,"","",14,19.1,"484,271","385,528",12117,"HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-81.235632248437 28.7167421000311)"
2023,"GA","Georgia","Carroll","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence",6.8,"","",5.9,7.7,"127,098","96,984",13045,"DISABLT","HEARING","CrdPrv","Hearing Disability","POINT (-85.0798243523077 33.582899616985)"
2023,"GA","Georgia","Catoosa","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence",33.9,"","",27.1,41.7,"68,910","54,038",13047,"HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-85.1386810142994 34.9040327945415)"
2023,"GA","Georgia","Clayton","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence",4.3,"","",3.8,4.8,"298,300","219,599",13063,"HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-84.3578579480575 33.5414016249358)"
